MSTI_VAR,MSTI Variables,COU,Country,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
G_FBXGDP,Business-financed GERD as a percentage of GDP,DEU,Germany,2017,2017,PC,Percentage,0,Units,,,2.01655471418602,d,Definition differs
G_FBXGDP,Business-financed GERD as a percentage of GDP,DEU,Germany,2018,2018,PC,Percentage,0,Units,,,2.05290778350592,d,Definition differs
G_FBXGDP,Business-financed GERD as a percentage of GDP,DEU,Germany,2019,2019,PC,Percentage,0,Units,,,2.04136282385992,d,Definition differs
G_FBXGDP,Business-financed GERD as a percentage of GDP,DEU,Germany,2020,2020,PC,Percentage,0,Units,,,1.96065950411549,d; e,Definition differs; Estimated value
G_FBXGDP,Business-financed GERD as a percentage of GDP,DEU,Germany,2021,2021,PC,Percentage,0,Units,,,1.96423003026994,d,Definition differs
G_FBXGDP,Business-financed GERD as a percentage of GDP,GRC,Greece,2015,2015,PC,Percentage,0,Units,,,0.30334150262247,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,GRC,Greece,2016,2016,PC,Percentage,0,Units,,,0.40432292547243,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,GRC,Greece,2017,2017,PC,Percentage,0,Units,,,0.51584655857646,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,GRC,Greece,2018,2018,PC,Percentage,0,Units,,,0.51579524144751,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,GRC,Greece,2019,2019,PC,Percentage,0,Units,,,0.52824844201466,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,GRC,Greece,2020,2020,PC,Percentage,0,Units,,,0.60238473380221,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,GRC,Greece,2021,2021,PC,Percentage,0,Units,,,0.55774986947287,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,HUN,Hungary,2015,2015,PC,Percentage,0,Units,,,0.6660008048571,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,HUN,Hungary,2016,2016,PC,Percentage,0,Units,,,0.66576745840117,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,HUN,Hungary,2017,2017,PC,Percentage,0,Units,,,0.69381104000211,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,HUN,Hungary,2018,2018,PC,Percentage,0,Units,,,0.78932442676571,b,Time series break
G_FBXGDP,Business-financed GERD as a percentage of GDP,HUN,Hungary,2019,2019,PC,Percentage,0,Units,,,0.77916965841494,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,HUN,Hungary,2020,2020,PC,Percentage,0,Units,,,0.80017043114607,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,HUN,Hungary,2021,2021,PC,Percentage,0,Units,,,0.83057915527481,,
G_FBXGDP,Business-financed GERD as a percentage of GDP,ISL,Iceland,2015,2015,PC,Percentage,0,Units,,,0.90356881658781,w,Includes data from another category
G_FBXGDP,Business-financed GERD as a percentage of GDP,ISL,Iceland,2016,2016,PC,Percentage,0,Units,,,0.90371833554616,e; w,Estimated value; Includes data from another category
G_FBXGDP,Business-financed GERD as a percentage of GDP,ISL,Iceland,2017,2017,PC,Percentage,0,Units,,,0.82172723620084,w,Includes data from another category
G_FBXGDP,Business-financed GERD as a percentage of GDP,ISL,Iceland,2018,2018,PC,Percentage,0,Units,,,0.89977170870838,e; w,Estimated value; Includes data from another category
G_FBXGDP,Business-financed GERD as a percentage of GDP,ISL,Iceland,2019,2019,PC,Percentage,0,Units,,,0.97164626360049,w,Includes data from another category
G_FBXGDP,Business-financed GERD as a percentage of GDP,ISL,Iceland,2020,2020,PC,Percentage,0,Units,,,1.02345004923046,e; w,Estimated value; Includes data from another category
G_FBXGDP,Business-financed GERD as a percentage of GDP,ISL,Iceland,2021,2021,PC,Percentage,0,Units,,,1.37036562537718,b,Time series break
G_FBXGDP,Business-financed GERD as a percentage of GDP,IRL,Ireland,2015,2015,PC,Percentage,0,Units,,,0.57444430787173,e,Estimated value
G_FBXGDP,Business-financed GERD as a percentage of GDP,IRL,Ireland,2016,2016,PC,Percentage,0,Units,,,0.57684712982022,e,Estimated value
G_FBXGDP,Business-financed GERD as a percentage of GDP,IRL,Ireland,2017,2017,PC,Percentage,0,Units,,,0.6410685146192,e,Estimated value
G_FBXGDP,Business-financed GERD as a percentage of GDP,IRL,Ireland,2018,2018,PC,Percentage,0,Units,,,0.58759588641005,e; p,Estimated value; Provisional value
